#: table_doi: 10.17182/hepdata.90640.v1/t23
#: name: Statistical covariance matrix
#: description: Figure 8, statistical covariance matrix for normalized differential cross sections (note, the figure in the paper is for the corresponding correlation matrix)
#: data_file: statcov_normdiffxsec_AllVars.yaml
#: keyword cmenergies: 13000.0
#: keyword reactions: P P --> TOP TOPBAR X
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GEV],13000
Bin,Bin,Statistical covariance for all normalized differential cross section bins
$|\Delta\phi_{\ell\ell}|$ bin 3,$\cos\theta_{1}^{r}$ bin 6,-4.728968478e-07
$|\Delta\phi_{\ell\ell}|$ bin 4,$\cos\theta_{1}^{r}$ bin 6,-6.918686631e-07
$|\Delta\phi_{\ell\ell}|$ bin 5,$\cos\theta_{1}^{r}$ bin 6,-4.151144661e-07
$|\Delta\phi_{\ell\ell}|$ bin 6,$\cos\theta_{1}^{r}$ bin 6,4.895471287e-08
$\cos\theta_{1}^{k}$ bin 1,$\cos\theta_{2}^{r}$ bin 1,1.893042728e-06
$\cos\theta_{1}^{k}$ bin 2,$\cos\theta_{2}^{r}$ bin 1,6.310998515e-07
$\cos\theta_{1}^{k}$ bin 3,$\cos\theta_{2}^{r}$ bin 1,4.152239917e-07
$\cos\theta_{1}^{k}$ bin 4,$\cos\theta_{2}^{r}$ bin 1,-1.468252631e-06
$\cos\theta_{1}^{k}$ bin 5,$\cos\theta_{2}^{r}$ bin 1,-2.284414376e-06
$\cos\theta_{1}^{k}$ bin 6,$\cos\theta_{2}^{r}$ bin 1,8.133004362e-07
$\cos\theta_{2}^{k}$ bin 1,$\cos\theta_{2}^{r}$ bin 1,-8.836166163e-06
$\cos\theta_{2}^{k}$ bin 2,$\cos\theta_{2}^{r}$ bin 1,2.085954894e-06
$\cos\theta_{2}^{k}$ bin 3,$\cos\theta_{2}^{r}$ bin 1,7.272029811e-06
$\cos\theta_{2}^{k}$ bin 4,$\cos\theta_{2}^{r}$ bin 1,8.581766426e-06
$\cos\theta_{2}^{k}$ bin 5,$\cos\theta_{2}^{r}$ bin 1,1.763151646e-06
$\cos\theta_{2}^{k}$ bin 6,$\cos\theta_{2}^{r}$ bin 1,-1.086673661e-05
$\cos\theta_{1}^{r}$ bin 1,$\cos\theta_{2}^{r}$ bin 1,8.310893542e-07
$\cos\theta_{1}^{r}$ bin 2,$\cos\theta_{2}^{r}$ bin 1,-1.546880872e-06
$\cos\theta_{1}^{r}$ bin 3,$\cos\theta_{2}^{r}$ bin 1,-5.698404718e-07
$\cos\theta_{1}^{r}$ bin 4,$\cos\theta_{2}^{r}$ bin 1,2.48382718e-07
$\cos\theta_{1}^{r}$ bin 5,$\cos\theta_{2}^{r}$ bin 1,-1.126770282e-07
$\cos\theta_{1}^{r}$ bin 6,$\cos\theta_{2}^{r}$ bin 1,1.1499263e-06
$\cos\theta_{2}^{r}$ bin 1,$\cos\theta_{2}^{r}$ bin 1,6.466887314e-05
$\cos\theta_{2}^{r}$ bin 2,$\cos\theta_{2}^{r}$ bin 1,-2.203088798e-05
$\cos\theta_{2}^{r}$ bin 3,$\cos\theta_{2}^{r}$ bin 1,-3.162598285e-05
$\cos\theta_{2}^{r}$ bin 4,$\cos\theta_{2}^{r}$ bin 1,3.467933997e-06
$\cos\theta_{2}^{r}$ bin 5,$\cos\theta_{2}^{r}$ bin 1,1.277579797e-06
$\cos\theta_{2}^{r}$ bin 6,$\cos\theta_{2}^{r}$ bin 1,-1.575751611e-05
$\cos\theta_{1}^{n}$ bin 1,$\cos\theta_{2}^{r}$ bin 1,-1.554170627e-06
$\cos\theta_{1}^{n}$ bin 2,$\cos\theta_{2}^{r}$ bin 1,-4.458821344e-08
$\cos\theta_{1}^{n}$ bin 3,$\cos\theta_{2}^{r}$ bin 1,1.030044883e-07
$\cos\theta_{1}^{n}$ bin 4,$\cos\theta_{2}^{r}$ bin 1,2.070176042e-06
$\cos\theta_{1}^{n}$ bin 5,$\cos\theta_{2}^{r}$ bin 1,3.39971833e-07
$\cos\theta_{1}^{n}$ bin 6,$\cos\theta_{2}^{r}$ bin 1,-9.143935231e-07
$\cos\theta_{2}^{n}$ bin 1,$\cos\theta_{2}^{r}$ bin 1,-9.223354713e-06
$\cos\theta_{2}^{n}$ bin 2,$\cos\theta_{2}^{r}$ bin 1,-1.897681916e-06
$\cos\theta_{2}^{n}$ bin 3,$\cos\theta_{2}^{r}$ bin 1,1.075222244e-05
$\cos\theta_{2}^{n}$ bin 4,$\cos\theta_{2}^{r}$ bin 1,1.12086058e-05
$\cos\theta_{2}^{n}$ bin 5,$\cos\theta_{2}^{r}$ bin 1,-7.63542344e-07
$\cos\theta_{2}^{n}$ bin 6,$\cos\theta_{2}^{r}$ bin 1,-1.007624927e-05
$\cos\theta_{1}^{k*}$ bin 1,$\cos\theta_{2}^{r}$ bin 1,1.027678219e-06
$\cos\theta_{1}^{k*}$ bin 2,$\cos\theta_{2}^{r}$ bin 1,-2.145671828e-07
$\cos\theta_{1}^{k*}$ bin 3,$\cos\theta_{2}^{r}$ bin 1,-1.906009381e-07
$\cos\theta_{1}^{k*}$ bin 4,$\cos\theta_{2}^{r}$ bin 1,-4.06473572e-07
$\cos\theta_{1}^{k*}$ bin 5,$\cos\theta_{2}^{r}$ bin 1,-6.879285047e-07
$\cos\theta_{1}^{k*}$ bin 6,$\cos\theta_{2}^{r}$ bin 1,4.718919781e-07
$\cos\theta_{2}^{k*}$ bin 1,$\cos\theta_{2}^{r}$ bin 1,-1.121029072e-05
$\cos\theta_{2}^{k*}$ bin 2,$\cos\theta_{2}^{r}$ bin 1,3.033545999e-06
$\cos\theta_{2}^{k*}$ bin 3,$\cos\theta_{2}^{r}$ bin 1,8.509934001e-06
$\cos\theta_{2}^{k*}$ bin 4,$\cos\theta_{2}^{r}$ bin 1,7.132809651e-06
$\cos\theta_{2}^{k*}$ bin 5,$\cos\theta_{2}^{r}$ bin 1,1.736432219e-06
$\cos\theta_{2}^{k*}$ bin 6,$\cos\theta_{2}^{r}$ bin 1,-9.20243115e-06
$\cos\theta_{1}^{r*}$ bin 1,$\cos\theta_{2}^{r}$ bin 1,1.355957152e-06
$\cos\theta_{1}^{r*}$ bin 2,$\cos\theta_{2}^{r}$ bin 1,-9.508807053e-07
$\cos\theta_{1}^{r*}$ bin 3,$\cos\theta_{2}^{r}$ bin 1,2.069985927e-07
$\cos\theta_{1}^{r*}$ bin 4,$\cos\theta_{2}^{r}$ bin 1,-8.036307525e-07
$\cos\theta_{1}^{r*}$ bin 5,$\cos\theta_{2}^{r}$ bin 1,-4.683249744e-07
$\cos\theta_{1}^{r*}$ bin 6,$\cos\theta_{2}^{r}$ bin 1,6.598806877e-07
$\cos\theta_{2}^{r*}$ bin 1,$\cos\theta_{2}^{r}$ bin 1,2.268138189e-05
$\cos\theta_{2}^{r*}$ bin 2,$\cos\theta_{2}^{r}$ bin 1,-9.045252566e-06
$\cos\theta_{2}^{r*}$ bin 3,$\cos\theta_{2}^{r}$ bin 1,-1.329126937e-05
$\cos\theta_{2}^{r*}$ bin 4,$\cos\theta_{2}^{r}$ bin 1,-1.371441795e-05
$\cos\theta_{2}^{r*}$ bin 5,$\cos\theta_{2}^{r}$ bin 1,-1.003796236e-05
$\cos\theta_{2}^{r*}$ bin 6,$\cos\theta_{2}^{r}$ bin 1,2.340752035e-05
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 1,$\cos\theta_{2}^{r}$ bin 1,-1.534910538e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 2,$\cos\theta_{2}^{r}$ bin 1,-5.230089146e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 3,$\cos\theta_{2}^{r}$ bin 1,7.694766246e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 4,$\cos\theta_{2}^{r}$ bin 1,4.820253922e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 5,$\cos\theta_{2}^{r}$ bin 1,-4.95808416e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 6,$\cos\theta_{2}^{r}$ bin 1,-7.919363233e-07
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 1,$\cos\theta_{2}^{r}$ bin 1,6.519780824e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 2,$\cos\theta_{2}^{r}$ bin 1,9.427398105e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 3,$\cos\theta_{2}^{r}$ bin 1,-1.27915071e-05
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 4,$\cos\theta_{2}^{r}$ bin 1,-1.706884318e-05
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 5,$\cos\theta_{2}^{r}$ bin 1,7.349528645e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 6,$\cos\theta_{2}^{r}$ bin 1,6.563642705e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{n}$ bin 1,$\cos\theta_{2}^{r}$ bin 1,-2.274512344e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{n}$ bin 2,$\cos\theta_{2}^{r}$ bin 1,-6.252181697e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{n}$ bin 3,$\cos\theta_{2}^{r}$ bin 1,5.996862967e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{n}$ bin 4,$\cos\theta_{2}^{r}$ bin 1,7.88383065e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{n}$ bin 5,$\cos\theta_{2}^{r}$ bin 1,-4.224569459e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{n}$ bin 6,$\cos\theta_{2}^{r}$ bin 1,-1.129430116e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 1,$\cos\theta_{2}^{r}$ bin 1,1.209844392e-05
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 2,$\cos\theta_{2}^{r}$ bin 1,1.032109712e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 3,$\cos\theta_{2}^{r}$ bin 1,-8.826317424e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 4,$\cos\theta_{2}^{r}$ bin 1,-6.608633312e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 5,$\cos\theta_{2}^{r}$ bin 1,6.126695484e-07
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 6,$\cos\theta_{2}^{r}$ bin 1,1.691727558e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 1,$\cos\theta_{2}^{r}$ bin 1,2.909739654e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 2,$\cos\theta_{2}^{r}$ bin 1,-1.402296177e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 3,$\cos\theta_{2}^{r}$ bin 1,-3.510562623e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 4,$\cos\theta_{2}^{r}$ bin 1,-7.09952711e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 5,$\cos\theta_{2}^{r}$ bin 1,-1.040019561e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 6,$\cos\theta_{2}^{r}$ bin 1,1.014266582e-05
$\cos\theta_{1}^{n}\cos\theta_{2}^{r}+\cos\theta_{1}^{r}\cos\theta_{2}^{n}$ bin 1,$\cos\theta_{2}^{r}$ bin 1,5.766652595e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{r}+\cos\theta_{1}^{r}\cos\theta_{2}^{n}$ bin 2,$\cos\theta_{2}^{r}$ bin 1,7.985539041e-08
$\cos\theta_{1}^{n}\cos\theta_{2}^{r}+\cos\theta_{1}^{r}\cos\theta_{2}^{n}$ bin 3,$\cos\theta_{2}^{r}$ bin 1,-6.587442162e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{r}+\cos\theta_{1}^{r}\cos\theta_{2}^{n}$ bin 4,$\cos\theta_{2}^{r}$ bin 1,-6.660439897e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{r}+\cos\theta_{1}^{r}\cos\theta_{2}^{n}$ bin 5,$\cos\theta_{2}^{r}$ bin 1,1.792430328e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{r}+\cos\theta_{1}^{r}\cos\theta_{2}^{n}$ bin 6,$\cos\theta_{2}^{r}$ bin 1,5.608943746e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{r}-\cos\theta_{1}^{r}\cos\theta_{2}^{n}$ bin 1,$\cos\theta_{2}^{r}$ bin 1,3.788772262e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{r}-\cos\theta_{1}^{r}\cos\theta_{2}^{n}$ bin 2,$\cos\theta_{2}^{r}$ bin 1,1.445064032e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{r}-\cos\theta_{1}^{r}\cos\theta_{2}^{n}$ bin 3,$\cos\theta_{2}^{r}$ bin 1,-5.938772249e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{r}-\cos\theta_{1}^{r}\cos\theta_{2}^{n}$ bin 4,$\cos\theta_{2}^{r}$ bin 1,-5.922092925e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{r}-\cos\theta_{1}^{r}\cos\theta_{2}^{n}$ bin 5,$\cos\theta_{2}^{r}$ bin 1,3.210281508e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{r}-\cos\theta_{1}^{r}\cos\theta_{2}^{n}$ bin 6,$\cos\theta_{2}^{r}$ bin 1,3.416747373e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 1,$\cos\theta_{2}^{r}$ bin 1,-7.841243394e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 2,$\cos\theta_{2}^{r}$ bin 1,-5.029723874e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 3,$\cos\theta_{2}^{r}$ bin 1,1.177613598e-05
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 4,$\cos\theta_{2}^{r}$ bin 1,1.258205303e-05
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 5,$\cos\theta_{2}^{r}$ bin 1,-3.426699922e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 6,$\cos\theta_{2}^{r}$ bin 1,-8.06052182e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 1,$\cos\theta_{2}^{r}$ bin 1,-6.5657447e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 2,$\cos\theta_{2}^{r}$ bin 1,-5.310513365e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 3,$\cos\theta_{2}^{r}$ bin 1,1.094331911e-05
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 4,$\cos\theta_{2}^{r}$ bin 1,1.115289164e-05
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 5,$\cos\theta_{2}^{r}$ bin 1,-3.892036271e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 6,$\cos\theta_{2}^{r}$ bin 1,-6.32791642e-06
$\cos\varphi$ bin 1,$\cos\theta_{2}^{r}$ bin 1,2.106348634e-06
$\cos\varphi$ bin 2,$\cos\theta_{2}^{r}$ bin 1,-1.022085654e-07
$\cos\varphi$ bin 3,$\cos\theta_{2}^{r}$ bin 1,-4.087601985e-07
$\cos\varphi$ bin 4,$\cos\theta_{2}^{r}$ bin 1,1.62780763e-07
$\cos\varphi$ bin 5,$\cos\theta_{2}^{r}$ bin 1,3.658536435e-07
$\cos\varphi$ bin 6,$\cos\theta_{2}^{r}$ bin 1,-2.124014277e-06
$\cos\varphi_{\mathrm{lab}}$ bin 1,$\cos\theta_{2}^{r}$ bin 1,1.413336165e-06
$\cos\varphi_{\mathrm{lab}}$ bin 2,$\cos\theta_{2}^{r}$ bin 1,3.197587902e-08
$\cos\varphi_{\mathrm{lab}}$ bin 3,$\cos\theta_{2}^{r}$ bin 1,3.163173228e-07
$\cos\varphi_{\mathrm{lab}}$ bin 4,$\cos\theta_{2}^{r}$ bin 1,-4.25857487e-07
$\cos\varphi_{\mathrm{lab}}$ bin 5,$\cos\theta_{2}^{r}$ bin 1,-6.827712503e-07
$\cos\varphi_{\mathrm{lab}}$ bin 6,$\cos\theta_{2}^{r}$ bin 1,-6.530006293e-07
$|\Delta\phi_{\ell\ell}|$ bin 1,$\cos\theta_{2}^{r}$ bin 1,-1.296931322e-06
$|\Delta\phi_{\ell\ell}|$ bin 2,$\cos\theta_{2}^{r}$ bin 1,-5.775546922e-07
$|\Delta\phi_{\ell\ell}|$ bin 3,$\cos\theta_{2}^{r}$ bin 1,-9.263240618e-07
$|\Delta\phi_{\ell\ell}|$ bin 4,$\cos\theta_{2}^{r}$ bin 1,-2.354059174e-07
$|\Delta\phi_{\ell\ell}|$ bin 5,$\cos\theta_{2}^{r}$ bin 1,4.291859188e-07
$|\Delta\phi_{\ell\ell}|$ bin 6,$\cos\theta_{2}^{r}$ bin 1,2.607030075e-06
$\cos\theta_{1}^{k}$ bin 1,$\cos\theta_{2}^{r}$ bin 2,-1.849560436e-06
$\cos\theta_{1}^{k}$ bin 2,$\cos\theta_{2}^{r}$ bin 2,3.356739175e-06
$\cos\theta_{1}^{k}$ bin 3,$\cos\theta_{2}^{r}$ bin 2,2.127650782e-07
$\cos\theta_{1}^{k}$ bin 4,$\cos\theta_{2}^{r}$ bin 2,-2.276552376e-07
$\cos\theta_{1}^{k}$ bin 5,$\cos\theta_{2}^{r}$ bin 2,1.325420964e-06
$\cos\theta_{1}^{k}$ bin 6,$\cos\theta_{2}^{r}$ bin 2,-2.817709544e-06
$\cos\theta_{2}^{k}$ bin 1,$\cos\theta_{2}^{r}$ bin 2,-1.987840445e-06
$\cos\theta_{2}^{k}$ bin 2,$\cos\theta_{2}^{r}$ bin 2,6.701177112e-06
$\cos\theta_{2}^{k}$ bin 3,$\cos\theta_{2}^{r}$ bin 2,-1.110112511e-05
$\cos\theta_{2}^{k}$ bin 4,$\cos\theta_{2}^{r}$ bin 2,-6.542557388e-06
$\cos\theta_{2}^{k}$ bin 5,$\cos\theta_{2}^{r}$ bin 2,1.326982829e-05
$\cos\theta_{2}^{k}$ bin 6,$\cos\theta_{2}^{r}$ bin 2,-3.394824575e-07
$\cos\theta_{1}^{r}$ bin 1,$\cos\theta_{2}^{r}$ bin 2,-2.886670989e-08
$\cos\theta_{1}^{r}$ bin 2,$\cos\theta_{2}^{r}$ bin 2,6.253235155e-07
$\cos\theta_{1}^{r}$ bin 3,$\cos\theta_{2}^{r}$ bin 2,4.012168701e-07
$\cos\theta_{1}^{r}$ bin 4,$\cos\theta_{2}^{r}$ bin 2,-1.424212673e-06
$\cos\theta_{1}^{r}$ bin 5,$\cos\theta_{2}^{r}$ bin 2,3.777839261e-07
$\cos\theta_{1}^{r}$ bin 6,$\cos\theta_{2}^{r}$ bin 2,4.875507152e-08
$\cos\theta_{2}^{r}$ bin 1,$\cos\theta_{2}^{r}$ bin 2,-2.203088798e-05
$\cos\theta_{2}^{r}$ bin 2,$\cos\theta_{2}^{r}$ bin 2,0.0001003874361
$\cos\theta_{2}^{r}$ bin 3,$\cos\theta_{2}^{r}$ bin 2,-3.78166123e-06
$\cos\theta_{2}^{r}$ bin 4,$\cos\theta_{2}^{r}$ bin 2,-6.558305796e-05
$\cos\theta_{2}^{r}$ bin 5,$\cos\theta_{2}^{r}$ bin 2,-1.016196991e-05
$\cos\theta_{2}^{r}$ bin 6,$\cos\theta_{2}^{r}$ bin 2,1.170140998e-06
$\cos\theta_{1}^{n}$ bin 1,$\cos\theta_{2}^{r}$ bin 2,1.42632929e-06
$\cos\theta_{1}^{n}$ bin 2,$\cos\theta_{2}^{r}$ bin 2,1.108054333e-06
$\cos\theta_{1}^{n}$ bin 3,$\cos\theta_{2}^{r}$ bin 2,-7.365776263e-07
$\cos\theta_{1}^{n}$ bin 4,$\cos\theta_{2}^{r}$ bin 2,-1.588133938e-06
$\cos\theta_{1}^{n}$ bin 5,$\cos\theta_{2}^{r}$ bin 2,-1.94343198e-06
$\cos\theta_{1}^{n}$ bin 6,$\cos\theta_{2}^{r}$ bin 2,1.733759921e-06
$\cos\theta_{2}^{n}$ bin 1,$\cos\theta_{2}^{r}$ bin 2,1.024891635e-06
$\cos\theta_{2}^{n}$ bin 2,$\cos\theta_{2}^{r}$ bin 2,9.91794158e-06
$\cos\theta_{2}^{n}$ bin 3,$\cos\theta_{2}^{r}$ bin 2,-9.721747706e-06
$\cos\theta_{2}^{n}$ bin 4,$\cos\theta_{2}^{r}$ bin 2,-1.161740058e-05
$\cos\theta_{2}^{n}$ bin 5,$\cos\theta_{2}^{r}$ bin 2,9.486472853e-06
$\cos\theta_{2}^{n}$ bin 6,$\cos\theta_{2}^{r}$ bin 2,9.098422135e-07
$\cos\theta_{1}^{k*}$ bin 1,$\cos\theta_{2}^{r}$ bin 2,-1.70431652e-06
$\cos\theta_{1}^{k*}$ bin 2,$\cos\theta_{2}^{r}$ bin 2,1.442229857e-06
$\cos\theta_{1}^{k*}$ bin 3,$\cos\theta_{2}^{r}$ bin 2,1.9984395e-07
$\cos\theta_{1}^{k*}$ bin 4,$\cos\theta_{2}^{r}$ bin 2,2.361603586e-07
$\cos\theta_{1}^{k*}$ bin 5,$\cos\theta_{2}^{r}$ bin 2,3.474580703e-06
$\cos\theta_{1}^{k*}$ bin 6,$\cos\theta_{2}^{r}$ bin 2,-3.648498348e-06
$\cos\theta_{2}^{k*}$ bin 1,$\cos\theta_{2}^{r}$ bin 2,5.404564601e-07
$\cos\theta_{2}^{k*}$ bin 2,$\cos\theta_{2}^{r}$ bin 2,9.982700864e-06
$\cos\theta_{2}^{k*}$ bin 3,$\cos\theta_{2}^{r}$ bin 2,-8.902252226e-06
$\cos\theta_{2}^{k*}$ bin 4,$\cos\theta_{2}^{r}$ bin 2,-1.029385276e-05
$\cos\theta_{2}^{k*}$ bin 5,$\cos\theta_{2}^{r}$ bin 2,8.36010472e-06
$\cos\theta_{2}^{k*}$ bin 6,$\cos\theta_{2}^{r}$ bin 2,3.128429438e-07
$\cos\theta_{1}^{r*}$ bin 1,$\cos\theta_{2}^{r}$ bin 2,-9.55711577e-07
$\cos\theta_{1}^{r*}$ bin 2,$\cos\theta_{2}^{r}$ bin 2,9.682757964e-07
$\cos\theta_{1}^{r*}$ bin 3,$\cos\theta_{2}^{r}$ bin 2,1.186052337e-07
$\cos\theta_{1}^{r*}$ bin 4,$\cos\theta_{2}^{r}$ bin 2,-1.08087897e-06
$\cos\theta_{1}^{r*}$ bin 5,$\cos\theta_{2}^{r}$ bin 2,-1.530207495e-07
$\cos\theta_{1}^{r*}$ bin 6,$\cos\theta_{2}^{r}$ bin 2,1.102730267e-06
$\cos\theta_{2}^{r*}$ bin 1,$\cos\theta_{2}^{r}$ bin 2,-9.111562908e-06
$\cos\theta_{2}^{r*}$ bin 2,$\cos\theta_{2}^{r}$ bin 2,3.543096172e-05
$\cos\theta_{2}^{r*}$ bin 3,$\cos\theta_{2}^{r}$ bin 2,-2.97670033e-05
$\cos\theta_{2}^{r*}$ bin 4,$\cos\theta_{2}^{r}$ bin 2,-2.371268966e-05
$\cos\theta_{2}^{r*}$ bin 5,$\cos\theta_{2}^{r}$ bin 2,4.093237854e-05
$\cos\theta_{2}^{r*}$ bin 6,$\cos\theta_{2}^{r}$ bin 2,-1.37720844e-05
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 1,$\cos\theta_{2}^{r}$ bin 2,-3.82793165e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 2,$\cos\theta_{2}^{r}$ bin 2,5.604877708e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 3,$\cos\theta_{2}^{r}$ bin 2,-2.37206959e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 4,$\cos\theta_{2}^{r}$ bin 2,-1.107275958e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 5,$\cos\theta_{2}^{r}$ bin 2,4.235957614e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 6,$\cos\theta_{2}^{r}$ bin 2,-2.533558123e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 1,$\cos\theta_{2}^{r}$ bin 2,-6.307459306e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 2,$\cos\theta_{2}^{r}$ bin 2,9.041968401e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 3,$\cos\theta_{2}^{r}$ bin 2,-2.626991089e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 4,$\cos\theta_{2}^{r}$ bin 2,-5.209170283e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 5,$\cos\theta_{2}^{r}$ bin 2,1.078231372e-05
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 6,$\cos\theta_{2}^{r}$ bin 2,-5.680661446e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{n}$ bin 1,$\cos\theta_{2}^{r}$ bin 2,-6.744025163e-07
$\cos\theta_{1}^{n}\cos\theta_{2}^{n}$ bin 2,$\cos\theta_{2}^{r}$ bin 2,3.567403521e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{n}$ bin 3,$\cos\theta_{2}^{r}$ bin 2,-2.648512155e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{n}$ bin 4,$\cos\theta_{2}^{r}$ bin 2,-4.667881158e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{n}$ bin 5,$\cos\theta_{2}^{r}$ bin 2,4.470885442e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{n}$ bin 6,$\cos\theta_{2}^{r}$ bin 2,-4.749313422e-08
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 1,$\cos\theta_{2}^{r}$ bin 2,-4.870443562e-06
