#: table_doi: 10.17182/hepdata.90640.v1/t23
#: name: Statistical covariance matrix
#: description: Figure 8, statistical covariance matrix for normalized differential cross sections (note, the figure in the paper is for the corresponding correlation matrix)
#: data_file: statcov_normdiffxsec_AllVars.yaml
#: keyword cmenergies: 13000.0
#: keyword reactions: P P --> TOP TOPBAR X
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GEV],13000
Bin,Bin,Statistical covariance for all normalized differential cross section bins
$\cos\theta_{2}^{r*}$ bin 2,$\cos\theta_{1}^{k}$ bin 1,-1.051851067e-06
$\cos\theta_{2}^{r*}$ bin 3,$\cos\theta_{1}^{k}$ bin 1,1.142545032e-06
$\cos\theta_{2}^{r*}$ bin 4,$\cos\theta_{1}^{k}$ bin 1,-4.288321973e-07
$\cos\theta_{2}^{r*}$ bin 5,$\cos\theta_{1}^{k}$ bin 1,-7.557884163e-07
$\cos\theta_{2}^{r*}$ bin 6,$\cos\theta_{1}^{k}$ bin 1,-6.556264055e-07
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 1,$\cos\theta_{1}^{k}$ bin 1,1.241777965e-05
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 2,$\cos\theta_{1}^{k}$ bin 1,8.214682601e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 3,$\cos\theta_{1}^{k}$ bin 1,-1.473648362e-05
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 4,$\cos\theta_{1}^{k}$ bin 1,-1.054237484e-05
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 5,$\cos\theta_{1}^{k}$ bin 1,2.450423478e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 6,$\cos\theta_{1}^{k}$ bin 1,2.195972727e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 1,$\cos\theta_{1}^{k}$ bin 1,-2.276559955e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 2,$\cos\theta_{1}^{k}$ bin 1,-3.928834416e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 3,$\cos\theta_{1}^{k}$ bin 1,5.639651748e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 4,$\cos\theta_{1}^{k}$ bin 1,5.604928672e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 5,$\cos\theta_{1}^{k}$ bin 1,-4.077965692e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 6,$\cos\theta_{1}^{k}$ bin 1,-9.612203562e-07
$\cos\theta_{1}^{n}\cos\theta_{2}^{n}$ bin 1,$\cos\theta_{1}^{k}$ bin 1,-1.991684979e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{n}$ bin 2,$\cos\theta_{1}^{k}$ bin 1,-4.564478713e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{n}$ bin 3,$\cos\theta_{1}^{k}$ bin 1,5.661537407e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{n}$ bin 4,$\cos\theta_{1}^{k}$ bin 1,4.937581731e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{n}$ bin 5,$\cos\theta_{1}^{k}$ bin 1,-2.71091496e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{n}$ bin 6,$\cos\theta_{1}^{k}$ bin 1,-1.332040485e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 1,$\cos\theta_{1}^{k}$ bin 1,1.896328286e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 2,$\cos\theta_{1}^{k}$ bin 1,6.405239516e-07
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 3,$\cos\theta_{1}^{k}$ bin 1,-1.653111347e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 4,$\cos\theta_{1}^{k}$ bin 1,-6.384308077e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 5,$\cos\theta_{1}^{k}$ bin 1,5.702449169e-08
