#: table_doi: 10.17182/hepdata.90640.v1/t9
#: name: $\cos\theta_{1}^{r*}$
#: description: Figure 5, normalized differential cross section for $\cos\theta_{1}^{r*}$
#: data_file: normdiffxsec_b1q.yaml
#: keyword cmenergies: 13000.0
#: keyword reactions: P P --> TOP TOPBAR X
#: RE,,,P P --> TOP TOPBAR X
#: SQRT(S) [GEV],,,13000
$\cos\theta_{1}^{r*}$,$\cos\theta_{1}^{r*}$ LOW,$\cos\theta_{1}^{r*}$ HIGH,$\frac{1}{\sigma} \frac{{d}\sigma}{{d}\cos\theta_{1}^{r*}}$,stat +,stat -,sys +,sys -
-0.8333335,-1.0,-0.666667,0.487358,0.007324,-0.007324,0.012507,-0.012507
-0.5,-0.666667,-0.333333,0.509277,0.008853,-0.008853,0.00832,-0.00832
-0.1666665,-0.333333,0.0,0.503173,0.008413,-0.008413,0.010769,-0.010769
0.1666665,0.0,0.333333,0.50186,0.008772,-0.008772,0.01329,-0.01329
0.5,0.333333,0.666667,0.501073,0.00872,-0.00872,0.006571,-0.006571
0.8333335,0.666667,1.0,0.497258,0.007593,-0.007593,0.012257,-0.012257

