#: table_doi: 10.17182/hepdata.90640.v1/t4
#: name: $\cos\theta_{2}^{r}$
#: description: Figure 4, normalized differential cross section for $\cos\theta_{2}^{r}$
#: data_file: normdiffxsec_b2r.yaml
#: keyword cmenergies: 13000.0
#: keyword reactions: P P --> TOP TOPBAR X
#: RE,,,P P --> TOP TOPBAR X
#: SQRT(S) [GEV],,,13000
$\cos\theta_{2}^{r}$,$\cos\theta_{2}^{r}$ LOW,$\cos\theta_{2}^{r}$ HIGH,$\frac{1}{\sigma} \frac{{d}\sigma}{{d}\cos\theta_{2}^{r}}$,stat +,stat -,sys +,sys -
-0.8333335,-1.0,-0.666667,0.500978,0.008042,-0.008042,0.014053,-0.014053
-0.5,-0.666667,-0.333333,0.504108,0.010019,-0.010019,0.010655,-0.010655
-0.1666665,-0.333333,0.0,0.50616,0.008517,-0.008517,0.012269,-0.012269
0.1666665,0.0,0.333333,0.497365,0.009038,-0.009038,0.008777,-0.008777
0.5,0.333333,0.666667,0.497277,0.007998,-0.007998,0.00772,-0.00772
0.8333335,0.666667,1.0,0.494112,0.006761,-0.006761,0.008854,-0.008854

