#: table_doi: 10.17182/hepdata.90640.v1/t5
#: name: $\cos\theta_{1}^{n}$
#: description: Figure 4, normalized differential cross section for $\cos\theta_{1}^{n}$
#: data_file: normdiffxsec_b1n.yaml
#: keyword cmenergies: 13000.0
#: keyword reactions: P P --> TOP TOPBAR X
#: RE,,,P P --> TOP TOPBAR X
#: SQRT(S) [GEV],,,13000
$\cos\theta_{1}^{n}$,$\cos\theta_{1}^{n}$ LOW,$\cos\theta_{1}^{n}$ HIGH,$\frac{1}{\sigma} \frac{{d}\sigma}{{d}\cos\theta_{1}^{n}}$,stat +,stat -,sys +,sys -
-0.8333335,-1.0,-0.666667,0.498658,0.006082,-0.006082,0.009193,-0.009193
-0.5,-0.666667,-0.333333,0.503369,0.00812,-0.00812,0.006027,-0.006027
-0.1666665,-0.333333,0.0,0.484048,0.008713,-0.008713,0.009588,-0.009588
0.1666665,0.0,0.333333,0.503027,0.008627,-0.008627,0.009598,-0.009598
0.5,0.333333,0.666667,0.50888,0.008146,-0.008146,0.010311,-0.010311
0.8333335,0.666667,1.0,0.502018,0.005993,-0.005993,0.007566,-0.007566

