#: table_doi: 10.17182/hepdata.90640.v1/t7
#: name: $\cos\theta_{1}^{k*}$
#: description: Figure 5, normalized differential cross section for $\cos\theta_{1}^{k*}$
#: data_file: normdiffxsec_b1j.yaml
#: keyword cmenergies: 13000.0
#: keyword reactions: P P --> TOP TOPBAR X
#: RE,,,P P --> TOP TOPBAR X
#: SQRT(S) [GEV],,,13000
$\cos\theta_{1}^{k*}$,$\cos\theta_{1}^{k*}$ LOW,$\cos\theta_{1}^{k*}$ HIGH,$\frac{1}{\sigma} \frac{{d}\sigma}{{d}\cos\theta_{1}^{k*}}$,stat +,stat -,sys +,sys -
-0.8333335,-1.0,-0.666667,0.515542,0.009785,-0.009785,0.012589,-0.012589
-0.5,-0.666667,-0.333333,0.496873,0.009262,-0.009262,0.009657,-0.009657
-0.1666665,-0.333333,0.0,0.499811,0.007909,-0.007909,0.009724,-0.009724
0.1666665,0.0,0.333333,0.497015,0.008283,-0.008283,0.009797,-0.009797
0.5,0.333333,0.666667,0.493344,0.009201,-0.009201,0.010076,-0.010076
0.8333335,0.666667,1.0,0.497416,0.009944,-0.009944,0.013206,-0.013206

