#: table_doi: 10.17182/hepdata.90640.v1/t1
#: name: $\cos\theta_{1}^{k}$
#: description: Figure 4, normalized differential cross section for $\cos\theta_{1}^{k}$
#: data_file: normdiffxsec_b1k.yaml
#: keyword cmenergies: 13000.0
#: keyword reactions: P P --> TOP TOPBAR X
#: RE,,,P P --> TOP TOPBAR X
#: SQRT(S) [GEV],,,13000
$\cos\theta_{1}^{k}$,$\cos\theta_{1}^{k}$ LOW,$\cos\theta_{1}^{k}$ HIGH,$\frac{1}{\sigma} \frac{{d}\sigma}{{d}\cos\theta_{1}^{k}}$,stat +,stat -,sys +,sys -
-0.8333335,-1.0,-0.666667,0.509051,0.008444,-0.008444,0.01562,-0.01562
-0.5,-0.666667,-0.333333,0.493009,0.006377,-0.006377,0.008172,-0.008172
-0.1666665,-0.333333,0.0,0.491092,0.007166,-0.007166,0.010322,-0.010322
0.1666665,0.0,0.333333,0.505061,0.007346,-0.007346,0.009771,-0.009771
0.5,0.333333,0.666667,0.502109,0.009652,-0.009652,0.009012,-0.009012
0.8333335,0.666667,1.0,0.499678,0.008909,-0.008909,0.016005,-0.016005

